gene,rho,pval,abs_rho
TMEM63A,0.022538709745225427,0.006297823475472021,0.022538709745225427
NFYB,0.022537959630355146,0.006299561999307359,0.022537959630355146
OGT,-0.02252218530182115,0.006336221982974829,0.02252218530182115
MTMR10,0.02245990083929407,0.006482855664535484,0.02245990083929407
TRIB1,-0.022409538510237942,0.006603645667598095,0.022409538510237942
PDE9A,0.022325585516974392,0.006809504244083772,0.022325585516974392
PEAK1,0.022303957525857992,0.00686346324289437,0.022303957525857992
FADS3,0.022251926072651956,0.0069948517740990425,0.022251926072651956
CCDC71L,-0.022199094311984625,0.007130567950970602,0.022199094311984625
HUWE1,-0.022196313834058824,0.007137775581225296,0.022196313834058824
CD70,0.022170812997176655,0.007204185186745594,0.022170812997176655
ITGA6,0.02202741655325475,0.007588050696076807,0.02202741655325475
LAT,-0.021965921462731713,0.007758214321308149,0.021965921462731713
CALML4,0.021916888952232053,0.00789633396029018,0.021916888952232053
TIGD1,-0.02189917631959158,0.007946767564413374,0.02189917631959158
CLCN7,0.02189915209063076,0.007946836749216087,0.02189915209063076
PDE7A,0.021883482096221114,0.007991694915982622,0.021883482096221114
ZNF587,-0.021720179183290344,0.008472848250323458,0.021720179183290344
CXXC5,-0.021715131943442947,0.008488123519741052,0.021715131943442947
SLC25A23,0.021562206998068732,0.008962776135676032,0.021562206998068732
GTPBP1,0.021553462347352666,0.00899062093867591,0.021553462347352666
DHCR7,0.021547634836796274,0.00900921981879891,0.021547634836796274
NR3C2,-0.02149623888718804,0.009174746708009027,0.02149623888718804
SMYD5,0.021493555571883545,0.009183462730879189,0.021493555571883545
ZNF131,-0.0214780587090724,0.00923394482037578,0.0214780587090724
HEXIM1,0.02145893017442853,0.00929659871265917,0.02145893017442853
MTG2,0.021357195273506935,0.009636238396503797,0.021357195273506935
SMAGP,0.021309910544359795,0.0097978295578657,0.021309910544359795
CD6,-0.021291545387967882,0.009861238925421824,0.021291545387967882
BAG2,0.021272273586270044,0.009928171543419026,0.021272273586270044
TMEM65,-0.021270320796699837,0.009934976277577534,0.021270320796699837
NCOA7,0.02126359189849614,0.009958455778578366,0.02126359189849614
IL18RAP,-0.021249142018222564,0.010009043608845011,0.021249142018222564
TRIM52,-0.021240408901901243,0.0100397283623459,0.021240408901901243
PIK3R1,-0.021193269219607038,0.010206809664918663,0.021193269219607038
SERPINI1,0.02119247785279138,0.010209635575469821,0.02119247785279138
CTSW,-0.02111691475296808,0.010482694800066314,0.02111691475296808
VMAC,0.020979150237400494,0.010997289830255842,0.020979150237400494
CD28,0.02095118153268367,0.011104461840246483,0.02095118153268367
RBBP5,0.02091690518714115,0.011237068226833792,0.02091690518714115
ICA1,0.020888595262028988,0.011347650373886957,0.020888595262028988
SOCS5,0.02086282283010596,0.011449159674406694,0.02086282283010596
B4GALT5,-0.020814117845105413,0.011643195631015929,0.020814117845105413
USP19,-0.020794277412977968,0.011723070557100562,0.020794277412977968
CROCC,-0.02079217476871809,0.011731563938979311,0.02079217476871809
GADD45B,-0.020742740924012133,0.011932824855687078,0.020742740924012133
MIER2,-0.020692124786685615,0.012142065079359282,0.020692124786685615
PUM1,-0.02068823059147877,0.012158297036460246,0.02068823059147877
GRAP2,-0.020643271938451526,0.012347092750484817,0.020643271938451526
LYPD3,-0.02063841607328157,0.012367638644100582,0.02063841607328157
MRPS22,0.020614100936720163,0.01247097573149375,0.020614100936720163
MKNK2,-0.020556523503417492,0.012718728903645728,0.020556523503417492
LY6G5C,0.020543151214260553,0.012776888839790175,0.020543151214260553
GDI1,0.020503517305223432,0.012950652885146692,0.020503517305223432
FNDC3B,-0.020482617468958648,0.013043121631660722,0.020482617468958648
FCGR1A,0.020482240636921396,0.013044794223677113,0.020482240636921396
TRIM33,-0.020429599732348834,0.013280316293764104,0.020429599732348834
SLC25A29,0.020419253731368034,0.013327045091076822,0.020419253731368034
IGLV6-57,0.020412235011801685,0.013358828550442804,0.020412235011801685
UBE4B,-0.020408235941792068,0.013376967818801253,0.020408235941792068
C2orf88,0.020401079135124737,0.013409484515289843,0.020401079135124737
IL2RB,-0.020367690443141847,0.013562109664482033,0.020367690443141847
BATF3,0.02034721792580328,0.01365645000841924,0.02034721792580328
PPA1,-0.020321441103734787,0.013776057387675135,0.020321441103734787
CAPN7,-0.02031224712371572,0.013818941761772044,0.02031224712371572
ELMOD2,0.02029592106061691,0.013895383554775289,0.02029592106061691
XPO6,-0.020294927831303194,0.013900046069509755,0.020294927831303194
GUCD1,0.020283852298652223,0.013952131565119041,0.020283852298652223
RORA,-0.020282935502333732,0.013956450742351004,0.020282935502333732
RPRD1B,-0.020185965123125052,0.0144200113335768,0.020185965123125052
ABCF1,0.020148799104018008,0.014601248602114217,0.020148799104018008
TOM1L2,-0.020111249381809325,0.014786393184405137,0.020111249381809325
UXS1,0.020102301083727462,0.014830818180892547,0.020102301083727462
ADRB2,0.020088355683275362,0.014900286412134636,0.020088355683275362
PAWR,0.02002002767075234,0.015244818006050492,0.02002002767075234
ZNF493,0.01999271831681593,0.015384470293115267,0.01999271831681593
MAP3K12,-0.01994001217351584,0.015657181177053926,0.01994001217351584
RABGEF1,-0.01990388364351528,0.0158465645994296,0.01990388364351528
PFKFB3,0.0198154433220384,0.016318687520656967,0.0198154433220384
IRF2BPL,-0.01981024168665392,0.01634683637396425,0.01981024168665392
ANP32E,0.019740916708530676,0.01672608398080095,0.019740916708530676
ZBTB8OS,0.019690182264874085,0.01700850443789934,0.019690182264874085
SAMD4B,-0.019658449494670313,0.017187268760196904,0.019658449494670313
C2CD3,0.019655531613939323,0.017203788875814207,0.019655531613939323
MADD,0.019633035194905363,0.017331624764161068,0.019633035194905363
SETDB2,0.01962813745307347,0.01735956633978239,0.01962813745307347
ZFP91,0.019623378115390624,0.01738675615377422,0.019623378115390624
ANO9,0.01956063817814382,0.017748691662150505,0.01956063817814382
YOD1,-0.019507583342059598,0.018059890197679646,0.019507583342059598
VPS13D,-0.019469474177179865,0.01828636239538551,0.019469474177179865
IGHV3-73,0.019426768407823043,0.018543101338214678,0.019426768407823043
CKAP5,0.019412994684162847,0.018626576304336197,0.019412994684162847
METTL6,0.019411774756825952,0.018633985436758153,0.019411774756825952
FAM169A,0.019395231438552336,0.018734714819072518,0.019395231438552336
LPCAT1,-0.019310483072447437,0.01925823697825975,0.019310483072447437
TNFRSF10A,-0.019307096248534807,0.01927942171270931,0.019307096248534807
KDM4C,0.019305583291899017,0.019288891902437526,0.019305583291899017
GPD1L,0.019231348421824373,0.019758577783628727,0.019231348421824373
LBH,-0.019229536422552547,0.01977016611934498,0.019229536422552547
RPF2,0.01916750719048578,0.020170458487963654,0.01916750719048578
NADK2,0.019156756658488885,0.020240549092492566,0.019156756658488885
TRAV23DV6,-0.019152837487627816,0.02026615384198544,0.019152837487627816
MBD3,0.01914737956761337,0.02030185862993067,0.01914737956761337
PITPNM2,-0.019132163740023963,0.02040168787249932,0.019132163740023963
TOR1AIP2,0.019087535265754605,0.02069696342245179,0.019087535265754605
TNRC6C,0.018974292755012178,0.021462986608443667,0.018974292755012178
HOPX,-0.01894436472149944,0.021669511647906217,0.01894436472149944
CCDC14,0.01891405556307867,0.02188042734002171,0.01891405556307867
CRKL,0.018871351653820704,0.022180625810548086,0.018871351653820704
BTBD6,0.01886042657496484,0.02225799952848538,0.01886042657496484
